source_name,availability_bucket,status,fields,available_at_required,source_vendor,license_status,raw_location,warehouse_table,pit_tier,time_zone,session_cutoff_rule,build_script,schema_hash,quality_report,coverage_start,coverage_end,update_sla,known_gaps,usage_allowed_stage,notes
external_actions,missing,p1_data_audit_parallel,"asset_id, announcement_time, record_date, ex_rights_date, cash_dividend, bonus_share, rights_issue",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,完整官方或授权公司行为主表仍缺失；当前仅有 AkShare/Sina/Eastmoney sanity reference 和 adjusted-vs-raw sanity check，不能宣称完整 total-return accounting。
corporate_action_vendor_or_exchange,blocked_by_source_gap,source_gap_p0,"asset_id, announcement_time, record_date, ex_rights_date, cash_dividend, bonus_share, rights_issue",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,需交易所/巨潮/授权源；未接入前 S1 报告只能声明 adjusted-return proxy。
corporate_action_sanity_akshare,candidate_etl,sanity_reference_ingested,"code, report_period, announcement_date, record_date, ex_right_dividend_date, cash_dividend, bonus_share, transfer_share, source_status",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,已通过 AkShare 低频抓取 Sina 历史分红摘要 5675 行和 Eastmoney 2023 年报分红送配样本 3859 行，并输出 adjusted-vs-raw sanity audit；只作复权 sanity reference，不进入 official keep。
historical_st_events_sh_bj,blocked_by_source_gap,source_gap_p0,"asset_id, warning_start, warning_end, risk_type, announcement_time",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,沪/北历史 ST、摘帽摘星带日期官方源缺失；现有深市来源不能外推为全市场完整 PIT。
official_suspension_events_full_history,blocked_by_source_gap,source_gap_p0,"asset_id, suspend_date, resume_date, reason, announcement_time",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,现有 AkShare/百度提醒仅覆盖 2023 年以来近期校验；完整交易所官方停复牌公告库仍缺。
official_suspension_events_recent,available_now,akshare_baidu_recent_ingested_partial,"asset_id, suspend_date, resume_date, reason, announcement_date",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,official_research_with_limits,已接入 AkShare 百度股市通 2023 年以来停复牌提醒；历史深度有限，不能替代完整交易所公告库。
index_components_latest_snapshot,available_now,index_latest_snapshot_ingested_not_historical_pit,"index_id, member_id, weight, snapshot_date",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,official_research_with_limits,当前 index_membership 最新快照已入仓，仅可做当前覆盖检查，不得倒灌为历史 PIT。
index_components_historical_pit,blocked_by_source_gap,source_gap_p0,"index_id, member_id, weight, effective_date, announcement_date",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,source_registration_or_audit_only,历史 PIT 成分权重仍缺官方历史包或授权源。
official_reference_rates_govt_bond,available_now,akshare_china_government_bond_yield_ingested,"rate_id, trade_date, annual_rate, day_count, currency",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,official_research_with_limits,已接入 AkShare 中国国债 2Y/5Y/10Y/30Y 收益率。
official_reference_rates_shibor_eastmoney,available_now,akshare_shibor_ingested,"rate_id, trade_date, annual_rate, day_count, currency",True,,unknown_or_internal,,,requires_case_by_case_audit,Asia/Shanghai,T day 16:00 Asia/Shanghai unless source-specific audit overrides,,,,,,,,official_research_with_limits,已接入隔夜 Eastmoney/AkShare Shibor 序列，覆盖 2006-10-08 至 2026-04-27。
