dataset_id,physical_path,row_count,version_role,coverage_scope,sample_or_full,pit_status,posthoc_fields,blocking_issues,exists
suspend_d_raw,deepseek/raw/tushare/suspension_events/suspend_d_full.csv,127114,raw_evidence,2000-2026,full,candidate_raw_blocked,,缺PIT字段;未来日期38行;主键重复82行;suspend_timing缺失99%,True
suspend_d_staging,deepseek/staging/suspend_d/suspend_d.csv,5000,staging_candidate,1999-2001,sample,candidate_staging_pit_fields_present,,"仅5000行早期窗口,不是完整历史",True
namechange,deepseek/staging/namechange/namechange.csv,10000,staging_candidate,2020-2026,partial,candidate_staging_needs_pit,,key重复3758行;公告日缺失;未来start/end date,True
index_000300,deepseek/staging/index_000300/index_000300.csv,6000,staging_candidate,2025-2026,sample,candidate_partial_window,,"仅20个月度截面,无法构建完整PIT universe",True
index_000905,deepseek/staging/index_000905/index_000905.csv,6000,staging_candidate,2025-2026,sample,candidate_partial_window,,仅12个月度截面,True
index_000852,deepseek/staging/index_000852/index_000852.csv,6000,staging_candidate,2025-2026,sample,candidate_partial_window,,仅6个月度截面,True
idx_cons_300,deepseek/raw/tushare/index_membership/000300_cons.csv,300,raw_evidence,当前快照,snapshot,candidate_snapshot_only,,"无移除记录,幸存者偏差",True
idx_daily_300,deepseek/raw/tushare/index_membership/000300_SH_daily.csv,5178,raw_candidate,2005-2026,full,candidate_raw_needs_pit,,缺available_at/decision_time,True
idx_daily_500,deepseek/raw/tushare/index_membership/000905_SH_daily.csv,5178,raw_candidate,2005-2026,full,candidate_raw_needs_pit,,缺available_at/decision_time,True
idx_daily_1000,deepseek/raw/tushare/index_membership/000852_SH_daily.csv,5178,raw_candidate,2005-2026,full,candidate_raw_needs_pit,,缺available_at/decision_time,True
stock_basic,deepseek/staging/stock_basic/stock_basic.csv,5512,staging_candidate,1990-2026,full,candidate_staging_needs_pit,,"delist_date全空,不能解除幸存者偏差",True
dividend,deepseek/staging/dividend/dividend.csv,5675,reference_only,累计统计,full,reference_only,,非逐笔公司行为事件流;缺record_date/ex_rights_date等,True
margin_tushare,coder/raw/tushare/margin_trading/margin_detail_tushare.csv,8600,raw_candidate,2025-2026,sample,candidate_raw_needs_pit,,"仅2025-2026多月采样,非全历史",True
northbound_tushare,coder/raw/tushare/northbound_flow/hk_hold_tushare.csv,1787,raw_candidate,2025-2026,sample,candidate_raw_needs_pit,,仅2025-2026采样,True
share_float_akshare,coder/raw/tushare/restricted_unlock/share_float_akshare_combined.csv,23149,raw_candidate,2010-2024,full,candidate_raw_needs_pit,解禁前20日涨跌幅;解禁后20日涨跌幅,后验字段需禁用,True
share_float_tushare,coder/raw/tushare/restricted_unlock/share_float_tushare.csv,6000,raw_evidence,2015-2035,future_plans,raw_evidence_only,,全部为未来解禁计划;以ann_date为可得性锚点,True
stk_limit,coder/raw/tushare/limit_events/stk_limit_tushare.csv,15140,raw_candidate,2026,sample,candidate_raw_needs_pit,,仅2026采样,True
top_list,coder/raw/tushare/limit_events/top_list_tushare.csv,177,raw_candidate,2026,sample,candidate_raw_needs_pit,,仅2026采样,True
fut_daily,coder/raw/tushare/index_futures/fut_daily_tushare.csv,18990,raw_candidate,2019-2026,full,candidate_raw_needs_pit,,覆盖较好但缺PIT字段,True
