id,desc,best_file,rows,source,pit,note
suspend_d,停复牌,deepseek/raw/suspend_d_full.csv,127114,Tushare,✅,"2000-2026完整历史,S+R类型"
suspend_d_staging,停复牌(staging清洗),deepseek/staging/suspend_d.csv,5000,Tushare,✅,原始拉取5000行，未合并全量
namechange,历史ST/更名,deepseek/staging/namechange.csv,10000,Tushare,✅,2020-2026
index_000300,沪深300成分,deepseek/staging/index_000300.csv,6000,Tushare,✅,20个月度截面
index_000905,中证500成分,deepseek/staging/index_000905.csv,6000,Tushare,✅,12个月度截面
index_000852,中证1000成分,deepseek/staging/index_000852.csv,6000,Tushare,✅,6个月度截面
stock_basic,股票基础信息,deepseek/staging/stock_basic.csv,5512,Tushare,✅,5512只股票
dividend,分红送配,deepseek/staging/dividend.csv,5675,AkShare,✅,全市场分红统计
margin_detail,融资融券明细,coder/raw/margin_detail_tushare.csv,8600,Tushare,✅,2025-2026多月采样
margin_detail_raw,融资融券明细(AkShare原始),coder/raw/margin_detail.csv,12602,AkShare,✅,原始拉取，含重复
northbound,北向资金,coder/raw/hk_hold_tushare.csv,1787,Tushare,✅,2025-2026多月采样
northbound_raw,北向资金(AkShare原始),coder/raw/hk_hold.csv,2648,AkShare,✅,原始拉取
share_float_ak,限售解禁(AkShare),coder/raw/share_float_akshare_combined.csv,23149,AkShare,⚠️,"2010-2024,后验字段禁用"
share_float_ts,限售解禁(Tushare),coder/raw/share_float_tushare.csv,6000,Tushare,✅,"未来计划,非历史"
stk_limit,涨跌停价格,coder/raw/stk_limit_tushare.csv,15140,Tushare,✅,2026多日采样
top_list,龙虎榜,coder/raw/top_list_tushare.csv,177,Tushare,✅,2026多日采样
fut_daily,股指期货,coder/raw/fut_daily_tushare.csv,18990,Tushare,✅,"240合约,2019-2026"
zt_pool,涨停板池(封板资金),coder/raw/zt_pool.csv,1055,AkShare,✅,2026-04-10~05-01
dt_pool,跌停板池(封单资金),coder/raw/dt_pool.csv,180,AkShare,✅,2026-04-10~05-01
gmsl_wti,WTI原油,mimo/raw/wti_crude.csv,10518,FRED,✅,
gmsl_brent,布伦特原油,mimo/raw/brent_crude.csv,10159,FRED,✅,
gmsl_sc_crude,上海原油,mimo/raw/sc_crude.csv,1964,AkShare,✅,
gmsl_dxy,美元指数,mimo/raw/dxy.csv,5300,FRED,✅,
gmsl_usdcny,美元/人民币(FRED),mimo/raw/usdcny.csv,11821,FRED,✅,
gmsl_usdcnh,美元/人民币(BOC),mimo/raw/usdcnh_boc.csv,1731,AkShare,✅,
gmsl_fed_funds,联邦基金利率,mimo/raw/fed_funds.csv,861,FRED,✅,
gmsl_ust_10y,美国10年期国债,mimo/raw/ust_10y.csv,16782,FRED,✅,
gmsl_ust_2y,美国2年期国债,mimo/raw/ust_2y.csv,13022,FRED,✅,
gmsl_ust_30y,美国30年期国债,mimo/raw/ust_30y.csv,12837,FRED,✅,
gmsl_vix,VIX(FRED),mimo/raw/vix.csv,9477,FRED,✅,
gmsl_vix_raw,VIX(Raw),mimo/raw/vix.csv,9175,Raw,✅,重复文件
gmsl_vix9d,VIX9D,mimo/raw/vix9d.csv,3853,Cboe,✅,
gmsl_vxn,VXN,mimo/raw/vxn.csv,4185,Cboe,✅,
gmsl_gvz,GVZ(黄金波动率),mimo/raw/gvz.csv,4177,Cboe,✅,
gmsl_ovx,OVX(原油波动率),mimo/raw/ovx.csv,4177,Cboe,✅,
gmsl_gold,黄金期货,mimo/raw/gold_futures.csv,4459,AkShare,✅,
gmsl_silver,白银期货,mimo/raw/silver_futures.csv,3400,AkShare,✅,
gmsl_copper,铜期货,mimo/raw/shfe_copper.csv,5186,AkShare,✅,
gmsl_spx,标普500,mimo/raw/spx.csv,5620,Raw,✅,
gmsl_nasdaq,纳斯达克,mimo/raw/nasdaq.csv,5617,Raw,✅,
rev_lhb,龙虎榜(AkShare),review/staging/event_lhb_staged.csv,6562,AkShare,✅,HIGH质量
rev_holder,股东户数,review/staging/event_holder_staged.csv,889,AkShare,✅,MEDIUM质量
rev_analyst,CNINFO评级,review/staging/analyst_cninfo_staged.csv,391,AkShare,✅,LOW质量
rev_bs,财报资产负债表,review/staging/fundamental_bs_staged.csv,119,Tushare,✅,MEDIUM质量
rev_is,财报利润表,review/staging/fundamental_is_staged.csv,122,Tushare,✅,MEDIUM质量
rev_minute,分钟数据,review/staging/minute_daily_staged.csv,78,AkShare,✅,"UNUSABLE,SSL阻断"
rev_share_change,股东增减持,review/staging/event_share_change_staged.csv,45,AkShare,✅,
rev_news_cctv,央视新闻,review/staging/news_cctv_staged.csv,11,AkShare,✅,
rev_news_stock,个股新闻,review/staging/news_stock_staged.csv,10,AkShare,✅,
rev_news_div,分红新闻,review/staging/news_dividend_staged.csv,15,AkShare,✅,
rev_news_suspend,停牌新闻,review/staging/news_suspend_staged.csv,8,AkShare,✅,
rev_analyst_ths,同花顺评级,review/staging/analyst_ths_staged.csv,3,AkShare,✅,样本极少
idx_daily_300,沪深300日线,deepseek/raw/000300_SH_daily.csv,5178,Tushare,✅,2005-2026
idx_daily_500,中证500日线,deepseek/raw/000905_SH_daily.csv,5178,Tushare,✅,2005-2026
idx_daily_1000,中证1000日线,deepseek/raw/000852_SH_daily.csv,5178,Tushare,✅,2005-2026
idx_cons_300,沪深300当前成分+纳入日期,deepseek/raw/000300_cons.csv,300,AkShare,✅,无移除记录
